2022-10-21 10:20:56.077 | DEBUG    | __main__:<module>:16 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 3
2022-10-21 10:20:56.086 | DEBUG    | __main__:<module>:17 - Sleeping for 0.03333333333333333 mins.
2022-10-21 10:26:18.747 | DEBUG    | __main__:<module>:16 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 3
2022-10-21 10:26:18.756 | DEBUG    | __main__:<module>:17 - Sleeping for 0.03333333333333333 mins.
2022-10-21 10:27:11.220 | DEBUG    | __main__:<module>:15 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 3
2022-10-21 10:27:11.228 | DEBUG    | __main__:<module>:16 - Sleeping for 0.03333333333333333 mins.
2022-10-21 10:28:33.411 | INFO     | __main__:<module>:20 - Calling Meta API...
2022-10-21 10:30:02.219 | DEBUG    | __main__:<module>:31 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 13
2022-10-21 10:30:02.227 | DEBUG    | __main__:<module>:32 - Sleeping for 10.0 mins.
2022-10-21 10:40:16.094 | DEBUG    | __main__:<module>:31 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 13
2022-10-21 10:40:16.103 | DEBUG    | __main__:<module>:32 - Sleeping for 10.0 mins.
2022-10-21 11:09:39.932 | DEBUG    | __main__:<module>:15 - ERROR: {'code': 1, 'message': "Please reduce the amount of data you're asking for, then retry your request"} at page 3
2022-10-21 11:09:39.945 | DEBUG    | __main__:<module>:16 - Sleeping for 0.03333333333333333 mins.
2022-10-21 11:42:41.383 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:42:56.938 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:44:57.942 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:45:38.926 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:48:32.563 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:48:44.309 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:49:29.364 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:51:49.625 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:53:34.993 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:53:46.389 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 11:56:48.806 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 0
2022-10-21 12:06:48.825 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 1
2022-10-21 12:16:48.907 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 2
2022-10-21 12:27:15.172 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 12:29:58.177 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 0
2022-10-21 12:40:07.767 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 1
2022-10-21 12:50:31.188 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 0
2022-10-21 13:00:41.714 | DEBUG    | __main__:request_ads_handle_errors:12 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 1
2022-10-21 13:11:38.392 | INFO     | __main__:<module>:19 - Calling Meta API...
2022-10-21 13:15:07.500 | DEBUG    | __main__:request_ads_handle_errors:20 - ERROR: Please reduce the amount of data you're asking for, then retry your request. Sleeping for 10.0 mins. Retries: 0
2022-10-21 13:25:20.611 | INFO     | __main__:<module>:48 - Last page reached. All done!
